trending_date,title,channel_title,category_id,tags,views,likes,dislikes,comment_count
17.14.11,Divya Agarwal Announces Official BREAK UP With Priyank Sharma | Exclusive,Lehren Small Screen,24,divya priyank|"divya priyank break up"|"divya announces official break up with priyank"|"divya breaks up with priyank"|"divya agarwal priyank sharma break up"|"divya priyank splitsvilla"|"priyank bigg boss fights"|"priyank bigg boss 11"|"divya priyank interview"|"divya priyank rapid fire"|"divya breaks down splitsvilla"|"bigg boss 11 full episodes"|"splitsvilla 10 full episode"|"divya priyank love story"|"bigg boss 11 controversies",655660,8505,868,1361
17.14.11,Natural Star Nani REAL Behaviour Shocks You | Naga Chaitanya and Samantha Reception Video | NewsQube,NewsQube,24,newsqube|"latest Movies"|"telugu movie Trailers"|"newsqube latest news"|"newsqube channel"|"Natural Star Nani REAL Behiour Shocks You |",423009,1514,347,118
17.14.11,Breaking News IT Raid - நடந்தத�?என்ன? சிக்கியத�?என்ன?,Sathiyam News,25,sathiyam news today|"sathiyam news live today"|"sathiyam tv news live"|"sathiyam tv news yesterday"|"tamil news today"|"tamilnadu news today live"|"sun news today"|"breaking"|"news"|"it raid"|"income tax"|"raid"|"sasikala"|"admk",33533,0,0,10
17.14.11,"Brahmanandam @#ChaySam Wedding Reception || Naga Chaitanya, Samantha Akkineni Reception",NTV Telugu,25,Brahmanandam @#ChaySam Wedding Reception ||"Brahmanandam @#ChaySam"|"Naga Chaitanya - Samantha Akkineni Reception LIVE"|"Naga Chaitanya"|"Samantha"|"Naga Chaitanya Samantha"|"Nagarjuna"|"#ChaiSam"|"Reception LIVE"|"Akkineni Reception LIVE"|"reception live ntv"|"ntv",75834,160,15,9
17.14.11,కెమెరాలో రికార్డ్ అయిన �?అద్భుతాన్న�?చూస్తే ఆశ్చర్యపోతార�?. HOTNEWS TELUGU,HOTNEWS TELUGU,26,Miracles Caught on Camera|"Miracles Caught on Tape"|"Miracle Caught on Camera"|"Miracle Caught on Tape"|"Caught On Camera"|"Caught on Tape"|"Miracles"|"Miracle"|"Tape"|"Real"|"Life"|"Real Life"|"Viral"|"Camera"|"Caught"|"Miracles Caught"|"Life Miracle"|"Life Miracles"|"Miracles In Life"|"miracles caught on video"|"miracles caught on cctv"|"miracles caught on film"|"miracles caught on cam"|"Caught On Video",128851,0,0,0
17.14.11,[PWW] Plenty Wrong With BAHUBALI 2 (450 Mistakes In Baahubali 2) Full Movie | Bollywood Sins #29,Bollywood Sins,24,Bahubali 2|"Baahubali 2 The Conclusion"|"Plenty Wrong With"|"Plenty Wrong With Bahubali 2"|"Bahubali 2 Mistakes"|"Mistakes In Bahubali"|"Prabhas"|"Anushka Shetty"|"Bahubali 2 Movie Mistakes"|"Bollywood Sins"|"Bahubali 2 Full Movie"|"PWW"|"Mistakes"|"Bollywood"|"Bollywood Mistakes"|"Baahubali Full Movie"|"Movie Mistakes"|"Plenty Wrong With Baahubali"|"Bollywood Sins Bahubali 2"|"Mistakes Bollywood"|"#popularonyoutubeindia"|"Popular Right Now India",156063,5406,534,1047
17.14.11,Rajj Ke Rona Main - Romy Tahlie | Latest Punjabi Songs 2017 | Tahliwood Records,Tahliwood Records,10,Latest Punjabi Songs 2017|"New Punjabi Songs 2017"|"Punjabi Songs 2017"|"Punjabi Songs"|"romy tahlie"|"romy"|"tahlie"|"rajj ke rona main"|"rajj ke"|"rona"|"main"|"rajj"|"ke"|"punjabi sad songs"|"best punjabi sad songs"|"latest punjabi songs"|"new punjabi songs 2017"|"parmish verma"|"guri"|"singh jeet"|"g guri",1287771,52194,253,3122
17.14.11,Chunkzz Official Video Song | Ithu Nava Sumasara | Gopi Sundar | Omar Lulu | Honey Rose,Gopi Sundar Music Company,10,chunks honeyrose song|"chunkzz video song"|"Ithu Nava Sumashara"|"Ithu Nava Sumashara video song"|"honey rose glamour song"|"chunkzz malayalam movie"|"Ithu Nava Sumashara honey rose"|"honey rose"|"omar lulu"|"gopi sundar"|"honey rose in chunkzz"|"chunks video song"|"chunkss video song"|"Ithu Nava Sumashara hone rose song"|"honey rose latest"|"gopi sundar latest"|"honey rose latest song"|"chukzz full songs"|"gopi sundar bgm"|"gopi sundar chunkzz"|"chunkzz movie"|"chunks"|"dq"|"chunkzz full songs",56430,244,94,43
17.14.11,Girls On A Date ft. Komal Pandey | The Timeliners,The Timeliners,24,Date|"Girls"|"Hot Girls"|"Sanskaari Girls"|"Boyfriend"|"Girlfriend"|"Horny"|"Horny Girl"|"Pizza"|"Food"|"Foodie"|"Pasta"|"How To Date"|"Emo Girl"|"Ex Boyfriend"|"Ex Girlfriend"|"Shaadi"|"Marriage"|"Tips For First Date"|"First Date"|"Awkward"|"Awkward Dates"|"What To Wear On A Date"|"Love"|"Romance"|"Date Tips"|"How To Ask A Girl Out"|"Flirt"|"Flirting"|"Komal Pandey"|"Funny Video"|"Comedy"|"LOL"|"Naughty Girl"|"Hot Guy",793778,21956,1590,1661
17.14.11,Naa Show Naa Ishtam |Sathvik &Komali Sisters| 11th November 2017 | Full Episode 105 | ETV Plus,ETV Plus India,23,etv Plus|"etv comedy show"|"3 Idiots"|"anchor ravi"|"Chinnadana Neekosam"|"express raja"|"hungama"|"Kick"|"Nandini Vs Nandini"|"Pataas"|"jabardasth"|"extra jabardasth"|"naga babu"|"roja"|"anchor anasuya"|"pove pora"|"comedy short films"|"yadamma raju"|"chalaki chanti"|"sudigali sudeer"|"anchor suma"|"comedy show"|"anchor sreemukhi"|"comedy skits in telugu"|"telugu comedy tracks"|"racha ravi"|"allare allari"|"sardaga kasepu"|"ejunction"|"anchor pradeep"|"pataas punches"|"anchor vishnupriya"|"getup srinu",309490,1560,200,108
