RRinc	Quintile Index(i)	Running POP	pop
1962	12	3921.483027	2.1513622
1967	12	3928.309825	6.8267982
1968	12	3942.504825	14.195
1969	12	3943.036695	0.53187
1990	12	3943.766969	0.7302742
1994	12	3944.100375	0.3334052
1999	12	3953.117688	9.0173139
2013	12	3953.435828	0.3181397
2014	12	3953.999386	0.5635577
2018	12	3958.878688	4.8793022
2026	12	3959.145435	0.2667474
2049	13	4016.816769	57.6713336
2051	13	4019.050059	2.23329
2056	13	4035.794285	16.7442258
2057	13	4040.420105	4.62582
2067	13	4041.155127	0.7350221
2068	13	4042.111038	0.955911
2082	13	4046.799954	4.6889159
2088	13	4047.562293	0.7623395
2098	13	4048.528788	0.9664948
2102	13	4048.537484	0.0086956
2107	13	4051.330984	2.7935
2109	13	4053.010543	1.6795593
2112	13	4064.525471	11.5149282
2121	13	4066.547171	2.0217
2124	13	4066.61009	0.0629185
2135	13	4068.015764	1.405674
2149	13	4068.454134	0.43837
2150	13	4068.52427	0.0701363
2166	13	4071.414806	2.8905358
2167	13	4072.966332	1.5515258
2182	13	4074.028573	1.0622413
2185	13	4077.160718	3.1321453
2191	13	4079.65962	2.498902
2192	13	4079.967529	0.3079087
2195	13	4081.20549	1.2379612
2196	13	4082.167337	0.9618466
2199	13	4101.662309	19.4949724
2207	13	4102.01932	0.3570107
2225	13	4109.111693	7.092373
2233	13	4112.163279	3.0515862
2244	13	4112.540695	0.3774164
2250	13	4113.941207	1.4005113
2290	13	4114.543407	0.6022001
2305	13	4114.937138	0.3937315
2310	13	4115.163748	0.2266094
2318	13	4117.31511	2.1513622
2331	13	4117.489848	0.1747383
2341	13	4120.240049	2.7502008
2349	13	4120.975071	0.7350221
2355	13	4121.293211	0.3181397
2373	13	4121.871911	0.5787
2376	13	4122.484874	0.6129628
2379	13	4179.577507	57.0926336
2384	13	4186.404305	6.8267982
2401	13	4187.280645	0.87634
2404	13	4189.543305	2.2626595
2423	13	4190.305644	0.7623395
2431	13	4194.806223	4.5005782
2433	13	4199.701123	4.8949
2453	13	4199.96787	0.2667474
2461	13	4204.59369	4.62582
2479	13	4208.56512	3.9714298
2491	13	4208.649485	0.0843651
2498	13	4210.01857	1.3690846
2505	13	4224.21357	14.195
2518	13	4224.549381	0.3358115
2522	13	4224.882786	0.3334052
2523	13	4225.414656	0.53187
2549	13	4225.423352	0.0086956
2566	13	4226.427171	1.0038188
2578	13	4229.220671	2.7935
2594	13	4229.672883	0.4522124
2595	13	4231.352442	1.6795593
2601	13	4232.352852	1.0004092
2604	13	4243.415567	11.0627158
2610	13	4243.478486	0.0629185
2616	13	4246.722316	3.2438306
2620	13	4247.688811	0.9664948
2630	13	4248.045822	0.3570107
2643	13	4252.59342	4.547598
2645	13	4253.717129	1.1237094
2663	13	4254.759563	1.0424336
2669	13	4261.851936	7.092373
2684	13	4263.25761	1.405674
2691	13	4263.651341	0.3937315
2703	13	4263.856594	0.2052524
2711	13	4264.340534	0.48394
2745	13	4267.22217	2.8816364
2748	13	4267.785728	0.5635577
2765	13	4268.548067	0.7623395
2768	13	4269.278947	0.73088
2772	13	4269.901972	0.6230242
2779	13	4270.24262	0.3406487
2786	14	4305.420732	35.178112
2799	14	4317.511319	12.0905864
2809	14	4318.051981	0.5406626
2813	14	4375.144615	57.0926336
2818	14	4394.877639	19.7330237
2819	14	4397.723972	2.8463338
2830	14	4398.600312	0.87634
2831	14	4403.226132	4.62582
2835	14	4406.358278	3.1321453
2839	14	4406.782074	0.4237961
2888	14	4415.294304	8.51223
2899	14	4415.67172	0.3774164
2904	14	4416.340862	0.6691416
2909	14	4417.302708	0.9618466
2923	14	4417.477447	0.1747383
2927	14	4417.795586	0.3181397
2936	14	4420.545787	2.7502008
2939	14	4421.928052	1.3822644
2959	14	4425.061991	3.1339392
2966	14	4429.617562	4.5555716
2980	14	4429.844172	0.2266094
2985	14	4436.67097	6.8267982
2991	14	4437.405992	0.7350221
3004	14	4442.285294	4.8793022
3022	14	4442.898257	0.6129628
3045	14	4442.961176	0.0629185
3060	14	4457.156176	14.195
3064	14	4457.599576	0.4434
3089	14	4457.733643	0.1340675
3125	14	4458.737462	1.0038188
3126	14	4459.499801	0.7623395
3128	14	4459.893533	0.3937315
3136	14	4463.714804	3.8212715
3140	14	4465.394364	1.6795593
3144	14	4465.727769	0.3334052
3154	14	4541.100639	75.3728704
3156	14	4548.193012	7.092373
3164	14	4548.45976	0.2667474
3192	14	4561.230164	12.770404
3200	14	4565.855984	4.62582
3201	14	4566.185509	0.3295254
3212	14	4566.637722	0.4522124
3234	15	4577.700437	11.0627158
3237	15	4581.671867	3.9714298
3243	15	4586.172445	4.5005782
3253	15	4586.508257	0.3358115
3256	15	4589.301757	2.7935
3267	15	4591.453119	2.1513622
3283	15	4621.862516	30.4093966
3296	15	4622.067768	0.2052524
3311	15	4625.085597	3.0178292
3325	15	4625.193297	0.1077001
3334	15	4625.550308	0.3570107
3336	15	4626.516803	0.9664948
3339	15	4628.415504	1.8987007
3361	15	4634.398721	5.9832179
3427	15	4635.460963	1.0622413
3431	15	4636.001625	0.5406626
3442	15	4636.736647	0.7350221
3460	15	4638.142321	1.405674
3480	15	4638.20524	0.0629185
3505	15	4657.359564	19.1543237
3536	15	4658.121903	0.7623395
3541	15	4715.214537	57.0926336
3542	15	4715.591953	0.3774164
3549	15	4716.468293	0.87634
3570	15	4717.046993	0.5787
3575	15	4717.273603	0.2266094
3582	15	4717.896627	0.6230242
3600	15	4722.522447	4.62582
3604	15	4725.368781	2.8463338
3615	15	4729.181356	3.8125759
3636	15	4730.185175	1.0038188
3637	15	4738.017505	7.8323298
3644	15	4738.358154	0.3406487
3646	15	4741.108355	2.7502008
3654	15	4741.502086	0.3937315
3676	15	4755.697086	14.195
3681	15	4757.066171	1.3690846
3728	15	4764.158544	7.092373
3802	15	4764.292611	0.1340675
3815	15	4765.97217	1.6795593
3832	15	4766.307982	0.3358115
3845	15	4766.411157	0.1031747
3867	15	4766.719065	0.3079087
3879	15	4767.052471	0.3334052
3898	15	4767.593133	0.5406626
3932	15	4768.635567	1.0424336
3933	15	4769.366447	0.73088
3937	15	4769.429365	0.0629185
3952	15	4769.438061	0.0086956
3966	15	4769.890273	0.4522124
3998	15	4769.96041	0.0701363
4005	15	4773.292319	3.3319098
4011	15	4780.119118	6.8267982
4042	15	4780.881457	0.7623395
4055	15	4781.611731	0.7302742
4063	15	4786.237551	4.62582
4072	15	4788.388913	2.1513622
4105	15	4789.392732	1.0038188
4123	15	4794.326009	4.9332764
4126	15	4794.531261	0.2052524
4156	15	4805.593977	11.0627158
4163	15	4809.406553	3.8125759
4170	15	4810.141575	0.7350221
4182	15	4819.158889	9.0173139
4207	15	4821.034767	1.8758778
4209	15	4821.647729	0.6129628
4214	15	4822.025146	0.3774164
4248	15	4822.463516	0.43837
4274	15	4825.257016	2.7935
4293	15	4826.380725	1.1237094
4302	15	4826.607335	0.2266094
4311	15	4826.943146	0.3358115
4340	15	4827.077214	0.1340675
4343	15	4827.520614	0.4434
4354	15	4828.061276	0.5406626
4371	15	4828.455008	0.3937315
4378	15	4829.517249	1.0622413
4389	15	4843.712249	14.195
4425	15	4844.196189	0.48394
4432	15	4846.499889	2.3037
4468	15	4846.702021	0.2021316
4471	15	4846.764939	0.0629185
4487	15	4846.872639	0.1077001
4491	15	4853.965012	7.092373
4546	15	4855.036009	1.0709973
4552	15	4857.78621	2.7502008
4573	15	4858.31808	0.53187
4585	15	4859.321899	1.0038188
4629	15	4860.364333	1.0424336
4643	15	4861.330827	0.9664948
4670	15	4865.956647	4.62582
4705	15	4867.978347	2.0217
4715	15	4868.153086	0.1747383
4741	15	4868.595654	0.4425683
4745	15	4870.275213	1.6795593
4747	16	4889.429537	19.1543237
4767	16	4889.9702	0.5406626
4774	16	4894.470778	4.5005782
4784	16	4895.233117	0.7623395
4796	16	4899.045693	3.8125759
4837	16	4899.379098	0.3334052
4874	16	4899.910438	0.5313399
4923	16	4901.316112	1.405674
4944	16	4901.45018	0.1340675
4966	16	4901.827596	0.3774164
4968	16	4902.163408	0.3358115
4971	16	4905.009742	2.8463338
5017	16	4905.236351	0.2266094
5050	16	4905.859375	0.6230242
5078	16	4910.414947	4.5555716
5081	16	4914.386377	3.9714298
5086	16	4922.597386	8.2110097
5091	16	4927.476688	4.8793022
5135	16	4927.928901	0.4522124
5138	16	4934.365952	6.4370515
5167	16	4935.369771	1.0038188
5169	16	4935.43269	0.0629185
5173	16	4936.16357	0.73088
5199	16	4936.60697	0.4434
5202	16	4937.649403	1.0424336
5213	16	4942.544303	4.8949
5227	16	4943.606545	1.0622413
5230	16	4943.947193	0.3406487
5243	16	4944.487856	0.5406626
5256	16	4944.595556	0.1077001
5262	16	4945.51752	0.9219637
5288	16	4959.71252	14.195
5293	16	4959.721215	0.0086956
5425	16	4965.860567	6.1393521
5452	16	4966.984277	1.1237094
5535	16	4967.817969	0.8336926
5580	16	4980.982105	13.1641355
5582	16	4981.187357	0.2052524
5585	16	4987.170575	5.9832179
5605	16	4987.304643	0.1340675
5610	16	4987.57139	0.2667474
5633	16	4988.120752	0.5493621
5634	16	4991.933328	3.8125759
5649	16	4996.559148	4.62582
5688	16	4998.203707	1.6445593
5706	16	4999.246141	1.0424336
5759	16	5006.338514	7.092373
5771	16	5006.674325	0.3358115
5829	16	5009.424526	2.7502008
5846	16	5009.965189	0.5406626
5853	16	5021.027905	11.0627158
5866	16	5021.405321	0.3774164
5873	16	5022.40914	1.0038188
5900	16	5022.493505	0.0843651
5935	16	5022.720114	0.2266094
5986	16	5023.782356	1.0622413
6008	16	5023.890056	0.1077001
6036	16	5024.333456	0.4434
6040	16	5026.637156	2.3037
6048	16	5026.955295	0.3181397
6073	16	5027.312306	0.3570107
6131	16	5028.991865	1.6795593
6178	16	5029.555423	0.5635577
6184	16	5029.888828	0.3334052
6244	16	5030.931262	1.0424336
6251	16	5031.415202	0.48394
6298	16	5031.617334	0.2021316
6310	16	5031.680252	0.0629185
6425	16	5034.812397	3.1321453
6439	16	5035.543277	0.73088
6442	16	5040.098849	4.5555716
6466	16	5040.863616	0.7647675
6490	16	5040.997684	0.1340675
6511	16	5041.732706	0.7350221
6549	16	5055.927706	14.195
6560	16	5056.506406	0.5787
6602	16	5057.630115	1.1237094
6604	16	5058.506455	0.87634
6622	16	5115.599089	57.0926336
6707	16	5134.753413	19.1543237
6730	16	5135.089224	0.3358115
6802	16	5135.629887	0.5406626
6837	16	5140.524787	4.8949
6841	16	5140.632487	0.1077001
6870	16	5141.703484	1.0709973
6874	16	5145.674914	3.9714298
6906	16	5146.717348	1.0424336
6911	16	5146.943957	0.2266094
6915	16	5149.095319	2.1513622
6922	16	5150.099138	1.0038188
6931	16	5151.161379	1.0622413
6938	16	5151.604779	0.4434
6941	16	5155.417355	3.8125759
6942	16	5155.859924	0.4425683
6967	16	5186.26932	30.4093966
6995	17	5192.252538	5.9832179
7033	17	5205.022942	12.770404
7046	17	5205.554282	0.5313399
7052	17	5207.857982	2.3037
7084	17	5208.235398	0.3774164
7259	17	5208.71222	0.4768212
7280	17	5209.474559	0.7623395
7287	17	5209.926771	0.4522124
7320	17	5210.128903	0.2021316
7626	17	5216.565955	6.4370515
7638	17	5221.121526	4.5555716
7677	17	5225.092956	3.9714298
7681	17	5225.200656	0.1077001
7704	17	5225.334724	0.1340675
7720	17	5225.383589	0.048865
7784	17	5233.594598	8.2110097
7800	17	5234.637032	1.0424336
7801	17	5235.760741	1.1237094
7826	17	5236.244681	0.48394
7886	17	5236.975561	0.73088
7908	17	5237.809254	0.8336926
7932	17	5238.252654	0.4434
7949	17	5239.174618	0.9219637
7978	17	5241.478318	2.3037
8034	17	5248.305116	6.8267982
8059	17	5251.055317	2.7502008
